car_id,car_photo_url1,car_photo_url2,car_photo_url3,color,color_photo_url,int_color_id,trim_id
29,,,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,47
29,,,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,49
31,https://img.sm360.ca/images/newcar/2010/Mitsubishi/Lancer-Sportback/GTS/5-Doors-HatchBack/interiorColors/2011-Mitsubishi-Lancer-Sportback-black-cloth-front.jpg,https://img.sm360.ca/images/newcar/2010/Mitsubishi/Lancer-Sportback/GTS/5-Doors-HatchBack/interiorColors/2011-Mitsubishi-Lancer-Sportback-black-cloth-dash.jpg,https://img.sm360.ca/images/newcar/2010/Mitsubishi/Lancer-Sportback/GTS/5-Doors-HatchBack/interiorColors/2011-Mitsubishi-Lancer-Sportback-black-cloth-back.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,48
39,https://img.sm360.ca/images/newcar/2010/Nissan/Cube/1.8-S/5-Doors-HatchBack/interiorColors/2010-Nissan-CubeTissu-Noir-photo.jpg,,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,74
39,https://img.sm360.ca/images/newcar/2010/Nissan/Cube/1.8-S/5-Doors-HatchBack/interiorColors/2010-Nissan-CubeTissu-Noir-photo.jpg,,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,75
69,https://img.sm360.ca/images/newcar/2010/Mazda/3/GS/Sedan/interiorColors/2011-Mazda-3-Berline-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3/GS/Sedan/interiorColors/2011-Mazda-3-Berline-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3/GS/Sedan/interiorColors/2011-Mazda-3-Berline-Tissunoir-tableaudebord.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,42
69,https://img.sm360.ca/images/newcar/2010/Mazda/3/GS/Sedan/interiorColors/2011-Mazda-3-Berline-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3/GS/Sedan/interiorColors/2011-Mazda-3-Berline-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3/GS/Sedan/interiorColors/2011-Mazda-3-Berline-Tissunoir-tableaudebord.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,183
69,https://img.sm360.ca/images/newcar/2010/Mazda/3/GS/Sedan/interiorColors/2011-Mazda-3-Berline-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3/GS/Sedan/interiorColors/2011-Mazda-3-Berline-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3/GS/Sedan/interiorColors/2011-Mazda-3-Berline-Tissunoir-tableaudebord.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,184
70,https://img.sm360.ca/images/newcar/2010/Mazda/3-Sport/GS/5-Doors-HatchBack/interiorColors/2011-Mazda-3-Berline-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3-Sport/GS/5-Doors-HatchBack/interiorColors/2011-Mazda-3-Berline-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3-Sport/GS/5-Doors-HatchBack/interiorColors/2011-Mazda-3-Berline-Tissunoir-tableaudebord.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,42
70,https://img.sm360.ca/images/newcar/2010/Mazda/3-Sport/GS/5-Doors-HatchBack/interiorColors/2011-Mazda-3-Berline-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3-Sport/GS/5-Doors-HatchBack/interiorColors/2011-Mazda-3-Berline-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3-Sport/GS/5-Doors-HatchBack/interiorColors/2011-Mazda-3-Berline-Tissunoir-tableaudebord.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,183
